# This text file represents an airfoil's polar(s) (coefficients) that can be imported into Ashes.
# One or more polars can be imported. Each polar is given for a particular Reynolds number (Re).
# Thus, polars for more than one Reynolds numbers can be given in this file.

# Formatting rules (conventions): 
#  - the keyword 'Airfoil name' must be found in the file and the airfoil name must be given 
# on the line immediately after the line with (only) the keyword (except for comment lines).
#  - the airfoil database cannot already have an airfoil with this name (the comparison is made not considering case nor whitespace).
#  - if the name is already found in the airfoil database, an error message will be given and the file is not imported.
#  - the keyword 'Re and corresponding polar' must preceed each Reynolds number and corresponding polar data set.
#  - the first (non-comment) line after the keyword must contain only the Reynolds number.
#  - each preceding line must contain (and in this order) the angle of attack (AoA) in degrees, the lift coefficient,
# the drag coefficient, and finally the moment coefficient.
#  - the moment coefficient is referenced to the quarter chord point (as per convention).
#  - the angle of attack (AoA) must be strictly increasing.
#  - the coefficients cannot be negative and must be smaller than 5 (in order to catch typos).
#  - blank lines between the keyword and the data is NOT allowed nor are blank lines within the 'block of data.
#  - a polar for a Reynolds number can only be given once.
#  - if the Reynolds number corresponding to a polar is unknown, 0 or a negative number is given.
#  - if there is a polar with an unknown Reynolds number, then there can be no other polar in the file.

Airfoil name
NREL's S808 Airfoil

Re and corresponding polar
# Reynolds number (-)
1.000E+03
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
   -20.00 	  -0.480 	  0.2458 	  0.0023
   -19.80 	  -0.473 	  0.2442 	  0.0010
   -19.60 	  -0.466 	  0.2426 	 -0.0002
   -19.40 	  -0.459 	  0.2410 	 -0.0014
   -19.20 	  -0.452 	  0.2394 	 -0.0025
   -19.00 	  -0.445 	  0.2379 	 -0.0037
   -18.80 	  -0.438 	  0.2363 	 -0.0049
   -18.60 	  -0.431 	  0.2347 	 -0.0060
   -18.40 	  -0.424 	  0.2332 	 -0.0071
   -18.20 	  -0.417 	  0.2316 	 -0.0082
   -18.00 	  -0.410 	  0.2301 	 -0.0093
   -17.80 	  -0.403 	  0.2286 	 -0.0103
   -17.60 	  -0.396 	  0.2271 	 -0.0114
   -17.40 	  -0.389 	  0.2256 	 -0.0124
   -17.20 	  -0.381 	  0.2241 	 -0.0134
   -17.00 	  -0.374 	  0.2226 	 -0.0144
   -16.80 	  -0.367 	  0.2212 	 -0.0153
   -16.60 	  -0.360 	  0.2197 	 -0.0163
   -16.40 	  -0.353 	  0.2183 	 -0.0172
   -16.20 	  -0.345 	  0.2169 	 -0.0181
   -16.00 	  -0.338 	  0.2155 	 -0.0190
   -15.80 	  -0.331 	  0.2141 	 -0.0198
   -15.60 	  -0.324 	  0.2127 	 -0.0207
   -15.40 	  -0.316 	  0.2113 	 -0.0215
   -15.20 	  -0.309 	  0.2099 	 -0.0223
   -15.00 	  -0.302 	  0.2086 	 -0.0231
   -14.80 	  -0.295 	  0.2073 	 -0.0238
   -14.60 	  -0.287 	  0.2059 	 -0.0245
   -14.40 	  -0.280 	  0.2046 	 -0.0252
